api/openai-prompt-cache.ts:1	OPENAI_PROMPT_CACHE_KEY_MAX_LENGTH (prompt_cache_key clamp)	64 chars	MATCH	openai_codex_responses.rs:213	clamp_openai_prompt_cache_key takes 64 chars (char-based both sides)
api/openai-completions.ts:63	missing-API-key handling + auth bypass header names	throw "No API key" unless apiKey or non-empty authorization/cf-aig-authorization header; then apiKey="unused"	DRIFT	http_api_provider.rs:2442	ri never fail-fasts for openai-completions/openai-responses: build_json_request adds default bearer only when no authorization/api-key/x-api-key header, and cf-aig-authorization Bearer for cloudflare-ai-gateway; with no key and no header the request is sent unauthenticated and fails via HTTP instead of pi's local error. Also pi sends "Authorization: Bearer unused" when bypassing via cf-aig-authorization; ri sends no Authorization header at all
api/openai-completions.ts:176	cache retention env var and values	PI_CACHE_RETENTION=="long" -> long, else "short" (checks request-scoped options.env first)	DRIFT	openai_completions.rs:430	name and values identical, but ri reads std::env only (also openai_responses.rs:161); a request-scoped env override of PI_CACHE_RETENTION is honored by pi and ignored by ri for these two APIs (pi_messages.rs:37 does use scoped lookup)
api/openai-completions.ts:222	SDK maxRetries default	options.maxRetries ?? 0 (OpenAI SDK retries when caller sets >0)	DRIFT	http_api_provider.rs:2442	default matches (single attempt) but ri has no retry loop for openai-completions/openai-responses/azure-openai-responses; a caller-provided maxRetries>0 retries in pi (SDK backoff) and is silently ignored by ri (codex path is the only one honoring max_retries)
api/openai-completions.ts:398	reasoning delta field precedence	["reasoning_content","reasoning","reasoning_text"] first non-empty	MATCH	openai_completions.rs:904	identical order
api/openai-completions.ts:413	opencode-go thinking signature rewrite	provider=="opencode-go" && field=="reasoning" -> signature "reasoning_content"	MATCH	openai_completions.rs:910	identical; replay side openai_completions.rs:272 also matches pi:1010
api/openai-completions.ts:552	session affinity headers + format	openrouter->x-session-id; else session_id (only format=="openai") + x-client-request-id + x-session-affinity; gated on compat.sendSessionAffinityHeaders (default false) and retention!=none	MATCH	openai_completions.rs:465	identical incl. "openai-nosession" dropping session_id and cache_retention None gate
api/openai-completions.ts:590	prompt_cache_key gate	baseUrl contains "api.openai.com" && retention!=none, or long&&supportsLongCacheRetention; value clamp(sessionId)	MATCH	openai_completions.rs:1364	identical
api/openai-completions.ts:595	prompt_cache_retention long value	"24h"	MATCH	openai_completions.rs:93	identical
api/openai-completions.ts:599	stream_options	{include_usage:true} unless supportsUsageInStreaming===false	MATCH	openai_completions.rs:40	identical incl. compat gate (!=Some(false))
api/openai-completions.ts:603	store	false when supportsStore	MATCH	openai_completions.rs:43	identical
api/openai-completions.ts:607	max tokens field selection	compat.maxTokensField "max_tokens" else "max_completion_tokens"	MATCH	openai_completions.rs:1350	identical incl. detection fallback and >0 gate
api/openai-completions.ts:628	tools=[] when tool history present	empty array	MATCH	openai_completions.rs:74	identical
api/openai-completions.ts:623	zai tool_stream flag	tool_stream=true when compat.zaiToolStream && tools non-empty	MATCH	openai_completions.rs:109	identical (default false)
api/openai-completions.ts:644	zai thinking payload	{type:"enabled",clear_thinking:false} / {type:"disabled"}	MATCH	openai_completions.rs:1403	identical
api/openai-completions.ts:645	zai reasoning_effort mapping	map[level]; undefined->raw level; non-string(null)->omit	MATCH	openai_completions.rs:1413	identical tri-state
api/openai-completions.ts:653	qwen thinking	enable_thinking=!!effort	MATCH	openai_completions.rs:1424	identical
api/openai-completions.ts:655	qwen-chat-template kwargs	{enable_thinking:!!effort, preserve_thinking:true}	MATCH	openai_completions.rs:1427	identical
api/openai-completions.ts:734	chat-template kwargs resolution	scalar passthrough; omitWhenOff; $var "thinking.enabled"; map tri-state	MATCH	openai_completions.rs:1514	identical
api/openai-completions.ts:664	deepseek thinking	{type:"enabled"} / {type:"disabled"} unless map.off===null; reasoning_effort map??raw	MATCH	openai_completions.rs:1439	identical
