pi_source	item	verdict	ri_location	detail
packages/agent/src/harness/system-prompt.ts:8-12	skills system-prompt header lines	MATCH	crates/ri-agent-core/src/harness/system_prompt.rs:23-26	3 header lines + blank line + <available_skills>; byte-identical; empty-list returns ""
packages/agent/src/harness/system-prompt.ts:16-23	<available_skills> per-skill XML block + indentation	MATCH	crates/ri-agent-core/src/harness/system_prompt.rs:29-37	2-space <skill>, 4-space name/description/location, closing </available_skills>, no trailing newline
packages/agent/src/harness/system-prompt.ts:27-34	escapeXml entity order	MATCH	crates/ri-agent-core/src/harness/system_prompt.rs:41-48	& < > " ' replaced in same order with same entities
packages/agent/src/harness/skills.ts:39	formatSkillInvocation skill block	MATCH	crates/ri-agent-core/src/harness/skills.rs:50-57	<skill name="N" location="P">\nReferences are relative to D.\n\nCONTENT\n</skill>; unescaped interpolation both sides
packages/agent/src/harness/skills.ts:40	additionalInstructions append	MATCH	crates/ri-agent-core/src/harness/skills.rs:58-63	block + "\n\n" + instructions; both treat empty/absent instructions as no-append
packages/agent/src/harness/skills.ts:356-360	dirnameEnvPath no-slash edge (model-visible in "References are relative to X.")	DRIFT	crates/ri-agent-core/src/harness/skills.rs:125-135	pi: `slashIndex <= 0 ? "/" : ...` so a path with NO slash (e.g. "SKILL.md") yields "/" -> "References are relative to /." ; ri: `rfind('/')` None -> "." -> "References are relative to ..". Only differs when skill.filePath has no slash (paths are normally absolute)
packages/agent/src/harness/skills.ts:260	skill name fallback when frontmatter name is empty string	DRIFT	crates/ri-agent-core/src/harness/skills.rs:460	pi: `frontmatterName || parentDirName` -> `name: ""` in YAML falls back to parent dir name; ri: `parsed.name.unwrap_or_else(|| parent_dir_name)` keeps Some("") -> <name></name> in available_skills. Edge case: empty-string frontmatter name only
packages/agent/src/harness/skills.ts:303-317	SKILL.md frontmatter split + body trim	MATCH	crates/ri-agent-core/src/harness/skills.rs:550-579	CRLF normalize, "---" start, indexOf "\n---" from 3, body = slice(end+4).trim(); identical
packages/agent/src/harness/prompt-templates.ts:151-155	template description fallback (first line, 60 chars + "...")	MATCH	crates/ri-agent-core/src/harness/prompt_templates.rs:148-160	same logic/text; caveat: pi slices UTF-16 units, ri chars (differs only on astral chars in first 60)
packages/agent/src/harness/prompt-templates.ts:159	template name = basename minus .md	DRIFT	crates/ri-agent-core/src/harness/prompt_templates.rs:162	pi: `.replace(/\.md$/i, "")` strips ONE suffix case-insensitively ("a.md.md" -> "a.md"); ri: `trim_end_matches(".md")` strips REPEATED suffixes case-sensitively ("a.md.md" -> "a"). Affects template name lookup, not invocation text
packages/agent/src/harness/prompt-templates.ts:249-262	substituteArgs $N / ${@:N} / ${@:N:L} / $ARGUMENTS / $@	MATCH	crates/ri-agent-core/src/harness/prompt_templates.rs:233-329	same substitution order and semantics incl. $0 -> "", ${@:0} -> all args, non-numeric spec left literal
packages/agent/src/harness/prompt-templates.ts:223-246	parseCommandArgs shell-style quoting	MATCH	crates/ri-agent-core/src/harness/prompt_templates.rs:206-231	single/double quotes, space/tab separators; identical
packages/agent/src/harness/prompt-templates.ts:265-267	formatPromptTemplateInvocation	MATCH	crates/ri-agent-core/src/harness/prompt_templates.rs:242-244	substituteArgs(template.content, args)
packages/agent/src/harness/messages.ts:4-7	COMPACTION_SUMMARY_PREFIX	MATCH	crates/ri-agent-core/src/harness/compaction.rs:18	byte-identical (96 bytes, verified programmatically)
packages/agent/src/harness/messages.ts:9-10	COMPACTION_SUMMARY_SUFFIX	MATCH	crates/ri-agent-core/src/harness/compaction.rs:19	"\n</summary>" byte-identical
packages/agent/src/harness/messages.ts:12-15	BRANCH_SUMMARY_PREFIX	MATCH	crates/ri-agent-core/src/harness/compaction.rs:20-21	byte-identical (89 bytes)
packages/agent/src/harness/messages.ts:17	BRANCH_SUMMARY_SUFFIX (no leading newline)	MATCH	crates/ri-agent-core/src/harness/compaction.rs:22	"</summary>" byte-identical; asymmetry with compaction suffix faithfully reproduced
packages/agent/src/harness/messages.ts:63-79	bashExecutionToText (Ran `cmd` / ``` fences / (no output) / (command cancelled) / Command exited with code N / [Output truncated. Full output: P])	MATCH	crates/ri-agent-core/src/harness/session.rs:1824-1846	all six fragments and ordering byte-identical; exitCode null/undefined vs Option handled the same
packages/agent/src/harness/messages.ts:124-128	convertToLlm: bashExecution excludeFromContext skip	MATCH	crates/ri-agent-core/src/harness/compaction.rs:1485-1496	excluded messages dropped, else user message with bash text
packages/agent/src/harness/messages.ts:133-140	convertToLlm: custom message content mapping	MATCH	crates/ri-agent-core/src/harness/compaction.rs:1497-1509	string -> single text block, blocks passed through
packages/agent/src/harness/messages.ts:141-146	convertToLlm: branchSummary -> PREFIX+summary+SUFFIX user message	MATCH	crates/ri-agent-core/src/harness/compaction.rs:1510-1517	identical concatenation
packages/agent/src/harness/messages.ts:147-154	convertToLlm: compactionSummary -> PREFIX+summary+SUFFIX user message	MATCH	crates/ri-agent-core/src/harness/compaction.rs:1518-1525	identical concatenation
packages/agent/src/harness/compaction/compaction.ts:434-436	SUMMARIZATION_SYSTEM_PROMPT	MATCH	crates/ri-agent-core/src/harness/compaction.rs:23	byte-identical (310 bytes, verified programmatically)
packages/agent/src/harness/compaction/compaction.ts:438-469	SUMMARIZATION_PROMPT	MATCH	crates/ri-agent-core/src/harness/compaction.rs:25	byte-identical (879 bytes)
packages/agent/src/harness/compaction/compaction.ts:471-508	UPDATE_SUMMARIZATION_PROMPT	MATCH	crates/ri-agent-core/src/harness/compaction.rs:27	byte-identical (1257 bytes)
