pi_file:line	constant	pi_value	verdict	ri_file:line	ri_value/detail
agent.ts:38-45	EMPTY_USAGE failure-message usage	all fields 0	MATCH	agent_loop.rs (failure msgs) / proxy.rs:477	Usage::zero()
agent.ts:47-58	DEFAULT_MODEL placeholder	id/name/api/provider "unknown", contextWindow 0, maxTokens 0	MISSING_IN_RI	agent.rs:191	AgentOptions::new(model) requires explicit Model; no placeholder fallback. Benign: ri API makes omission impossible
agent.ts:76	thinkingLevel default	"off"	MATCH	agent.rs:195	ThinkingLevel::Off
agent.ts:224	Agent steeringMode default	"one-at-a-time"	MATCH	agent.rs:211	QueueMode::OneAtATime
agent.ts:225	Agent followUpMode default	"one-at-a-time"	MATCH	agent.rs:212	QueueMode::OneAtATime
agent.ts:228	transport default	"auto"	MATCH	ri-llm-provider http_api_provider.rs:1057	transport None -> Transport::Auto at provider
agent.ts:230	toolExecution default	"parallel"	MATCH	agent.rs:209	ToolExecutionMode::Parallel
agent.ts:140-152	queue drain semantics	"all"=drain all; "one-at-a-time"=oldest 1	MATCH	agent.rs:70-80	same
agent-loop.ts:212-214	fail all tool calls when stopReason=="length"	length	MATCH	agent_loop.rs:578-608	same guard + identical error text
agent-loop.ts:396	truncated tool-call error text	"Tool call \"{name}\" was not executed: the response hit the output token limit..."	MATCH	agent_loop.rs:600	identical
agent-loop.ts:611	unknown tool error	"Tool {name} not found"	MATCH	agent_loop.rs:758	identical
agent-loop.ts:639	default block reason	"Tool execution was blocked"	MATCH	agent_loop.rs:821	identical
agent-loop.ts:632,647	abort tool result text	"Operation aborted"	MATCH	agent_loop.rs:805,842	identical
harness/agent-harness.ts:343	default system prompt	"You are a helpful assistant."	MATCH	harness/system_prompt.rs:3 + agent_harness.rs:566	DEFAULT_SYSTEM_PROMPT identical
harness/agent-harness.ts:216	harness steeringMode default	"one-at-a-time"	MATCH	harness/agent_harness.rs:573	QueueMode::OneAtATime
harness/agent-harness.ts:217	harness followUpMode default	"one-at-a-time"	MATCH	harness/agent_harness.rs:574	QueueMode::OneAtATime
harness/agent-harness.ts:409	drainQueuedMessages	all=splice(0); one=splice(0,1)	MATCH	harness/agent_harness.rs:619-620	drain(..) / pop_front()
harness/agent-harness.ts:566-574	nextTurn queue drained fully before prompt, queued msgs precede user msg	splice(0), order [queued..., user]	MATCH	harness/agent_harness.rs:850,1845-1874	QueueMode::All; same ordering incl. before_agent_start msgs appended last
harness/agent-harness.ts:720-721	compaction input = session.getBranch() (active branch path, stops at prior compaction boundary)	getBranch()	DRIFT	harness/agent_harness.rs:1398	compact_session uses session.entries() (entire append log: abandoned sibling branches, leaf markers, pre-compaction history). tokens_before overcounts and messages_to_summarize/cut point can include off-branch entries whenever the session tree has branches
harness/agent-harness.ts:686,692	steer/followUp require non-idle	"Cannot steer while idle"/"Cannot follow up while idle"	MATCH	harness/agent_harness.rs:1326,1345	identical guards
harness/agent-harness.ts:697-699	nextTurn allowed while idle	no phase check	MATCH	harness/agent_harness.rs:1351-1362	no phase check
harness/compaction/compaction.ts:162	DEFAULT_COMPACTION_SETTINGS.enabled	true	MATCH	harness/compaction.rs:60	true
harness/compaction/compaction.ts:164	reserveTokens	16384	MATCH	harness/compaction.rs:61	16_384
harness/compaction/compaction.ts:165	keepRecentTokens	20000	MATCH	harness/compaction.rs:62	20_000
harness/compaction/compaction.ts:253	shouldCompact threshold	tokens > window - reserve	MATCH	harness/compaction.rs:354-360	tokens + reserve > window (equivalent, saturating)
harness/compaction/compaction.ts:256	ESTIMATED_IMAGE_CHARS	4800	MATCH	harness/compaction.rs:211	ESTIMATED_IMAGE_TOKENS = 4800/4 = 1200
harness/compaction/compaction.ts:275-315	estimateTokens divisor + rounding	ceil(total message chars / 4), one ceil per message	DRIFT	harness/compaction.rs:205-207,1101-1164	div_ceil(4) per content block then summed; ri can overcount up to (#blocks-1) tokens per message. Divisor 4 matches; only rounding granularity differs (marginal cut-point/threshold shifts)
harness/compaction/compaction.ts:174-185	getAssistantUsage guard	stopReason not aborted/error AND calculateContextTokens(usage) > 0	MISSING_IN_RI	harness/compaction.rs:302-347	ri get_last_assistant_usage/get_last_session_assistant_usage/..._from_entries only check stop_reason; a zero-usage assistant message anchors the estimate at usage_tokens=0 instead of falling back to an earlier real usage -> context-token undercount, compaction may fail to trigger
harness/compaction/compaction.ts:170	calculateContextTokens	totalTokens || sum(input,output,cacheRead,cacheWrite)	MATCH	harness/compaction.rs:241-247	same
harness/compaction/compaction.ts:551-553	summary maxTokens	min(floor(0.8*reserve), model.maxTokens if >0)	MATCH	harness/compaction.rs:1361-1364,1461-1473	reserve*8/10, min model.max_tokens when >0
harness/compaction/compaction.ts:825-827	turn-prefix summary maxTokens	min(floor(0.5*reserve), model.maxTokens if >0)	MATCH	harness/compaction.rs:1362	reserve*5/10
harness/compaction/compaction.ts:561-565	prompt wrappers	"<conversation>\n...\n</conversation>\n\n" + "<previous-summary>\n...\n</previous-summary>\n\n"	MATCH	harness/compaction.rs:1371-1392	identical
harness/compaction/compaction.ts:557	custom instructions joiner	"\n\nAdditional focus: "	MATCH	harness/compaction.rs:1382,868	identical
harness/compaction/compaction.ts:576-578	reasoning passed only if model.reasoning && thinkingLevel != off	condition	MATCH	harness/compaction.rs:1482	same filter
harness/compaction/compaction.ts:751	empty-history placeholder	"No prior history."	MATCH	harness/compaction.rs:649	identical
harness/compaction/compaction.ts:781	split-turn summary joiner	"\n\n---\n\n**Turn Context (split turn):**\n\n"	MATCH	harness/compaction.rs:684-687	identical
harness/compaction/compaction.ts:316-354	valid cut-point entry kinds	message(user/assistant/bashExecution/custom/branchSummary/compactionSummary), branch_summary, custom_message	MATCH	harness/compaction.rs:1166-1187	same set (toolResult excluded)
