packages/ai/src/utils/event-stream.ts:4	EventStream<T,R> generic class	MATCH	crates/ri-llm-provider/src/event_stream.rs:12	ri implements only the AssistantMessage specialization (mpsc channel + oneshot result); pi's other generic use (EventStream<AgentEvent,AgentMessage[]> in packages/agent) is covered separately in ri-agent-core. No provider-visible behavior gap.
packages/ai/src/utils/event-stream.ts:21	push(): drop events after done	MATCH	crates/ri-llm-provider/src/event_stream.rs:29	Both return early once completed (pi this.done guard; ri state.done guard).
packages/ai/src/utils/event-stream.ts:24	push(): isComplete -> resolve final result, still deliver completing event	MATCH	crates/ri-llm-provider/src/event_stream.rs:32	Both resolve the final result before delivering the done/error event to the consumer; both close intake afterwards (pi done flag; ri sender.take()).
packages/ai/src/utils/event-stream.ts:30	push(): deliver to waiting consumer or queue	MATCH	crates/ri-llm-provider/src/event_stream.rs:38	pi waiter/queue = ri unbounded mpsc; FIFO order and unbounded buffering in both.
packages/ai/src/utils/event-stream.ts:38	end(result?): optional result	DRIFT	crates/ri-llm-provider/src/event_stream.rs:46	pi end() may be called WITHOUT a result: stream terminates but finalResultPromise stays pending forever (result() hangs). ri end(result) requires an AssistantMessage; end-without-result is unrepresentable, and a dropped sender makes try_result() return Err instead of hanging. Scenario: caller ends stream with no result then awaits result(): pi hangs; ri errors.
packages/ai/src/utils/event-stream.ts:43	end(): wake all waiting consumers with done	MATCH	crates/ri-llm-provider/src/event_stream.rs:58	pi resolves all waiters done:true; ri drops sender which ends UnboundedReceiverStream after buffered events drain.
packages/ai/src/utils/event-stream.ts:38	end() after completion / double end	MATCH	crates/ri-llm-provider/src/event_stream.rs:51	pi re-resolving an already-resolved promise is a no-op; ri early-returns on state.done. Same observable behavior.
packages/ai/src/utils/event-stream.ts:50	asyncIterator: drain queue before honoring done	MATCH	crates/ri-llm-provider/src/event_stream.rs:81	Both deliver already-buffered events after completion, then terminate iteration.
packages/ai/src/utils/event-stream.ts:64	result()	MATCH	crates/ri-llm-provider/src/event_stream.rs:74	Both await the final AssistantMessage resolved by the done/error event or end().
(ri only)	AssistantMessageEventStream::try_result()	EXTRA_IN_RI	crates/ri-llm-provider/src/event_stream.rs:68	No pi counterpart: ri surfaces "stream closed without a final result" as Err where pi's result() would hang forever. Strictly more defensive; no parity break for well-behaved producers.
packages/ai/src/utils/event-stream.ts:69	AssistantMessageEventStream isComplete: done|error	MATCH	crates/ri-llm-provider/src/types.rs:872	ri final_message() returns Some only for Done/Error variants.
packages/ai/src/utils/event-stream.ts:74	extractResult: done->message, error->error	MATCH	crates/ri-llm-provider/src/types.rs:874	Identical mapping.
packages/ai/src/utils/event-stream.ts:79	throw "Unexpected event type" (unreachable)	MATCH	crates/ri-llm-provider/src/types.rs:876	ri returns None for non-terminal variants; pi's throw is unreachable given isComplete gate. Same effective behavior.
